requirement_id,requirement,spec_sections,release,acceptance_gates,status,interpretation
FR-001,Ingest normalized point and interval events with provenance and temporal precision. | Must,9-13,H0/R1,"AC03,AC04",specified,Interpret under version 2.0 semantics; old combined unknown status and scores are superseded.
FR-002,Reject or quarantine invalid events and publish a machine-readable quality report. | Must,9-13,H0/R1,"AC03,AC04",specified,Interpret under version 2.0 semantics; old combined unknown status and scores are superseded.
FR-003,Create immutable data snapshots and support dependency-aware incremental updates. | Must,9-13,H0/R1,"AC03,AC04",specified,Interpret under version 2.0 semantics; old combined unknown status and scores are superseded.
FR-010,Build and activate versioned semantic bundles from ontologies and mappings. | Must,"7,8",H0/R1,"AC01,AC12",specified,Interpret under version 2.0 semantics; old combined unknown status and scores are superseded.
FR-011,"Answer runtime subsumption, equivalence, disjointness, and explanation lookups without invoking a general reasoner. | Must","7,8",H0/R1,"AC01,AC12",specified,Interpret under version 2.0 semantics; old combined unknown status and scores are superseded.
FR-012,Compute and version ontology-based semantic-neighbour lists and information content. | Must,"7,8",H0/R1,"AC01,AC12",specified,Interpret under version 2.0 semantics; old combined unknown status and scores are superseded.
FR-013,"Parse authoritative ontology builds through horned-owl, with deterministic catalog-based import resolution and immutable source checksums. | Must","7,8",H0/R1,"AC01,AC12",specified,Interpret under version 2.0 semantics; old combined unknown status and scores are superseded.
FR-014,Use rustDL EL/Horn saturation where applicable and its configured hybrid reasoning path for residual expressive content; publish profile routing and diagnostics. | Must,"7,8",H0/R1,"AC01,AC12",specified,Interpret under version 2.0 semantics; old combined unknown status and scores are superseded.
FR-015,"Represent semantic inference as ENTAILED, NOT_ENTAILED, or UNKNOWN_OR_INCOMPLETE and propagate the status through cohort eligibility, ranking, evidence, and exports. | Must","7,8",H0/R1,"AC01,AC12",specified,Interpret under version 2.0 semantics; old combined unknown status and scores are superseded.
FR-020,"Create, validate, normalize, estimate, version, and compare temporal event expressions. | Must",14,H0/R1,"AC02,AC08",specified,Interpret under version 2.0 semantics; old combined unknown status and scores are superseded.
FR-021,Compile expressions to Boolean and weighted executable plans. | Must,14,H0/R1,"AC02,AC08",specified,Interpret under version 2.0 semantics; old combined unknown status and scores are superseded.
